#Z	A	N	Yield	Uncertainty
1	1	0	6.09E-05	2.04E-05
1	2	1	1.50E-05	5.20E-06
1	3	2	2.43E-04	1.94E-05
2	4	2	0.00324	2.63E-04
2	6	4	5.30E-05	1.10E-05
2	8	6	1.53E-06	3.41E-07
24	59	35	1.50E-12	3.15E-13
24	60	36	3.59E-12	9.11E-13
25	60	35	3.34E-13	8.93E-14
25	60	35	2.97E-12	7.93E-13
24	61	37	4.51E-12	1.56E-12
25	61	36	1.41E-11	2.75E-12
26	61	35	2.53E-12	9.33E-13
24	62	38	4.87E-12	1.81E-12
25	62	37	5.09E-12	1.15E-12
25	62	37	2.83E-11	6.42E-12
26	62	36	2.07E-11	6.20E-12
24	63	39	2.57E-12	9.92E-13
25	63	38	6.51E-11	1.84E-11
26	63	37	8.54E-11	2.05E-11
27	63	36	9.98E-12	3.75E-12
24	64	40	1.05E-12	4.15E-13
25	64	39	6.48E-11	2.35E-11
26	64	38	2.91E-10	5.60E-11
27	64	37	7.55E-11	2.68E-11
28	64	36	1.45E-12	5.75E-13
25	65	40	5.52E-11	2.09E-11
26	65	39	5.54E-10	1.39E-10
27	65	38	4.90E-10	1.33E-10
28	65	37	2.28E-11	8.78E-12
25	66	41	2.32E-11	9.01E-12
26	66	40	8.77E-10	2.73E-10
27	66	39	1.64E-09	3.59E-10
28	66	38	2.80E-10	1.03E-10
29	66	37	2.03E-12	7.93E-13
25	67	42	7.37E-12	2.92E-12
26	67	41	6.93E-10	2.58E-10
27	67	40	4.50E-09	8.97E-10
28	67	39	1.68E-09	5.64E-10
29	67	38	4.85E-11	1.91E-11
25	68	43	1.19E-12	4.65E-13
26	68	42	4.62E-10	1.77E-10
27	68	41	3.20E-09	8.95E-10
27	68	41	3.63E-09	1.01E-09
28	68	40	8.61E-09	2.09E-09
29	68	39	1.77E-10	6.78E-11
29	68	39	4.15E-10	1.59E-10
30	68	38	2.55E-12	9.95E-13
26	69	43	1.54E-10	6.02E-11
27	69	42	8.76E-09	2.93E-09
28	69	41	1.18E-08	2.43E-09
28	69	41	1.18E-08	2.43E-09
29	69	40	5.81E-09	2.06E-09
30	69	39	1.20E-11	4.71E-12
30	69	39	5.21E-11	2.04E-11
26	70	44	3.83E-11	1.51E-11
27	70	43	2.75E-09	1.04E-09
27	70	43	2.75E-09	1.04E-09
28	70	42	5.20E-08	1.12E-08
29	70	41	2.11E-09	6.56E-10
29	70	41	2.11E-09	6.56E-10
29	70	41	2.35E-08	7.31E-09
30	70	40	1.20E-09	4.67E-10
31	70	39	1.89E-12	7.43E-13
26	71	45	4.76E-12	1.87E-12
27	71	44	2.86E-09	1.11E-09
28	71	43	6.28E-08	1.93E-08
29	71	42	1.13E-07	2.46E-08
30	71	41	2.14E-09	8.10E-10
30	71	41	9.24E-09	3.50E-09
31	71	40	7.51E-11	2.95E-11
27	72	45	7.53E-10	2.94E-10
28	72	44	6.47E-08	2.28E-08
29	72	43	2.50E-07	5.15E-08
30	72	42	8.90E-08	3.00E-08
31	72	41	1.50E-10	5.87E-11
31	72	41	1.34E-09	5.22E-10
32	72	40	1.36E-12	5.31E-13
27	73	46	1.47E-10	5.75E-11
28	73	45	3.24E-08	1.24E-08
29	73	44	4.49E-07	1.07E-07
30	73	43	3.37E-08	9.54E-09
30	73	43	4.61E-08	1.30E-08
30	73	43	2.61E-07	7.39E-08
31	73	42	2.19E-08	8.43E-09
32	73	41	1.00E-11	3.92E-12
32	73	41	4.34E-11	1.70E-11
27	74	47	1.41E-11	5.56E-12
28	74	46	1.31E-08	5.15E-09
29	74	45	4.30E-07	1.43E-07
30	74	44	1.10E-06	2.21E-07
31	74	43	8.11E-08	3.03E-08
31	74	43	8.11E-08	3.03E-08
32	74	42	1.64E-09	6.46E-10
27	75	48	1.07E-12	4.19E-13
28	75	47	2.71E-09	1.06E-09
29	75	46	3.54E-07	1.29E-07
30	75	45	1.98E-06	4.28E-07
31	75	44	1.01E-06	3.17E-07
32	75	43	3.36E-09	1.31E-09
32	75	43	2.20E-08	8.54E-09
33	75	42	8.43E-12	3.29E-12
33	75	42	2.76E-11	1.08E-11
28	76	48	4.18E-10	1.62E-10
29	76	47	7.09E-08	2.72E-08
29	76	47	7.09E-08	2.72E-08
30	76	46	2.90E-06	7.71E-07
31	76	45	3.13E-06	7.95E-07
32	76	44	2.97E-07	1.12E-07
33	76	43	1.12E-09	4.34E-10
28	77	49	3.08E-11	1.22E-11
29	77	48	4.45E-08	1.76E-08
30	77	47	2.92E-07	1.03E-07
30	77	47	1.91E-06	6.72E-07
31	77	46	8.10E-06	1.55E-06
32	77	45	2.29E-07	8.27E-08
32	77	45	1.50E-06	5.41E-07
33	77	44	2.64E-08	1.04E-08
34	77	43	1.80E-12	7.11E-13
34	77	43	1.18E-11	4.65E-12
28	78	50	1.65E-12	6.24E-13
29	78	49	6.73E-09	2.54E-09
30	78	48	1.39E-06	5.01E-07
31	78	47	1.16E-05	2.55E-06
32	78	46	8.66E-06	2.32E-06
33	78	45	3.34E-07	1.25E-07
34	78	44	7.58E-10	2.86E-10
29	79	50	8.21E-10	3.14E-10
30	79	49	4.69E-07	1.79E-07
31	79	48	1.54E-05	4.56E-06
32	79	47	3.38E-06	7.47E-07
32	79	47	2.21E-05	4.89E-06
33	79	46	3.81E-06	1.38E-06
34	79	45	3.16E-09	1.21E-09
34	79	45	2.07E-08	7.92E-09
35	79	44	1.79E-12	6.85E-13
35	79	44	5.85E-12	2.24E-12
29	80	51	3.79E-11	1.45E-11
30	80	50	1.04E-07	3.97E-08
31	80	49	9.37E-06	3.36E-06
32	80	48	5.85E-05	1.12E-05
33	80	47	2.09E-05	6.86E-06
34	80	46	5.81E-07	2.22E-07
35	80	45	1.41E-10	5.38E-11
35	80	45	4.24E-10	1.62E-10
30	81	51	1.06E-08	3.91E-09
31	81	50	4.40E-06	1.60E-06
32	81	49	1.30E-05	3.46E-06
32	81	49	5.64E-05	1.49E-05
33	81	48	9.17E-05	2.05E-05
34	81	47	8.77E-07	3.18E-07
34	81	47	5.74E-06	2.08E-06
35	81	46	3.06E-08	1.12E-08
36	81	45	3.80E-12	1.40E-12
30	82	52	7.65E-10	2.77E-10
31	82	51	9.44E-07	3.41E-07
32	82	50	6.42E-05	1.99E-05
33	82	49	5.06E-05	9.03E-06
33	82	49	1.53E-04	2.72E-05
34	82	48	5.25E-05	1.80E-05
35	82	47	2.17E-07	7.84E-08
35	82	47	5.08E-07	1.84E-07
36	82	46	5.06E-10	1.83E-10
30	83	53	2.26E-11	8.03E-12
31	83	52	1.36E-07	4.82E-08
32	83	51	2.60E-05	8.86E-06
33	83	50	3.57E-04	5.87E-05
34	83	49	3.29E-05	1.02E-05
34	83	49	1.42E-04	4.39E-05
35	83	48	1.15E-05	4.07E-06
36	83	47	4.55E-09	1.62E-09
36	83	47	1.97E-08	7.00E-09
37	83	46	7.23E-13	2.57E-13
37	83	46	1.75E-12	6.20E-13
31	84	53	1.01E-08	3.20E-09
32	84	52	8.98E-06	2.82E-06
33	84	51	1.66E-04	3.41E-05
33	84	51	1.66E-04	3.41E-05
34	84	50	5.75E-04	1.20E-04
35	84	49	4.73E-05	1.48E-05
35	84	49	4.73E-05	1.48E-05
36	84	48	9.34E-07	2.97E-07
37	84	47	1.04E-10	3.32E-11
37	84	47	1.88E-10	5.97E-11
31	85	54	3.12E-10	1.07E-10
32	85	53	8.36E-07	2.85E-07
33	85	52	1.32E-04	3.59E-05
34	85	51	6.31E-04	1.03E-04
35	85	50	3.43E-04	9.27E-05
36	85	49	1.82E-06	6.20E-07
36	85	49	7.86E-06	2.68E-06
37	85	48	1.46E-08	5.01E-09
31	86	55	5.47E-12	1.94E-12
32	86	54	7.21E-08	2.55E-08
33	86	53	3.00E-05	1.01E-05
34	86	52	6.95E-04	1.54E-04
35	86	51	8.22E-04	1.74E-04
36	86	50	9.25E-05	3.20E-05
37	86	49	1.48E-07	5.25E-08
37	86	49	2.67E-07	9.45E-08
38	86	48	9.25E-11	3.28E-11
32	87	55	2.82E-09	1.02E-09
33	87	54	5.43E-06	1.94E-06
34	87	53	3.53E-04	1.10E-04
35	87	52	0.0016164	2.65E-04
36	87	51	4.15E-04	1.38E-04
37	87	50	8.53E-06	3.07E-06
38	87	49	1.09E-09	3.93E-10
38	87	49	4.72E-09	1.70E-09
32	88	56	7.72E-11	2.75E-11
33	88	55	4.47E-07	1.59E-07
34	88	54	1.30E-04	4.43E-05
35	88	53	0.0015519	2.94E-04
36	88	52	0.001331	3.01E-04
37	88	51	7.44E-05	2.64E-05
38	88	50	2.40E-07	8.55E-08
39	88	49	9.99E-12	3.56E-12
39	88	49	1.36E-11	4.83E-12
33	89	56	2.10E-08	7.53E-09
34	89	55	1.83E-05	6.53E-06
35	89	54	9.53E-04	2.42E-04
36	89	53	0.0020034	3.04E-04
37	89	52	4.18E-04	1.43E-04
38	89	51	4.12E-06	1.47E-06
39	89	50	3.80E-10	1.36E-10
39	89	50	1.64E-09	5.89E-10
33	90	57	6.76E-10	2.38E-10
34	90	56	2.72E-06	9.58E-07
35	90	55	3.64E-04	1.18E-04
36	90	54	0.0032182	5.22E-04
37	90	53	1.35E-04	4.19E-05
37	90	53	0.0011999	3.72E-04
38	90	52	5.73E-05	2.02E-05
39	90	51	3.38E-08	1.19E-08
39	90	51	4.80E-08	1.69E-08
40	90	50	1.07E-12	3.76E-13
40	90	50	4.49E-12	1.58E-12
33	91	58	1.28E-11	4.52E-12
34	91	57	1.56E-07	5.49E-08
35	91	56	9.28E-05	3.19E-05
36	91	55	0.0022306	4.78E-04
37	91	54	0.0030977	5.22E-04
38	91	53	3.32E-04	1.17E-04
39	91	52	4.18E-07	1.48E-07
39	91	52	1.81E-06	6.39E-07
40	91	51	4.59E-10	1.62E-10
34	92	58	5.72E-09	2.05E-09
35	92	57	1.02E-05	3.65E-06
36	92	56	0.0010569	3.01E-04
37	92	55	0.004075	5.75E-04
